name,rank,type,founded,religon,schedule,location_type,phone_num,alumni_sal,four_year_grad_rate,sport_assoc,usnews_score,six_year_grad_rate,six_year_with_pell,six_year_without_pell,percent_class_less_twenty,percent_class_more_fifty,student_to_fac,app_deadline,app_fee,acceptance_rate,sat_1400-1600,sat_1200-1399,sat_1000-1199,sat_800-999,sat_600-799,sat_400-599,total_enroll,undergrad_enroll,grad_enroll,tuition,room_and_board,fed_debt,fed_debt_not_grad
Baylor University,75,Private,1845.0,Baptist,Semester,City,(254) 710-1011,53400.0,64.0,NCAA I,65.0,78.0,71.0,81.0,51.9,9.0,15:1,Feb. 1,N/A,68.0,17.0,60.0,23.0,0.0,0.0,0.0,19297.0,14399.0,4898.0,24225.0,6500.0,50232.0,14324.0
Clemson University,75,Public,1889.0,None,Semester,Suburban,(864) 656-3311,57400.0,63.0,NCAA I,65.0,84.0,74.0,87.0,37.7,17.0,16:1,May 1,70.0,62.0,21.0,63.0,15.0,1.0,0.0,0.0,26378.0,20840.0,5538.0,21500.0,8750.0,15120.0,37712.0
Loyola Marymount University,75,Private,1911.0,Roman Catholic,Semester,Suburban,(800) 568-4636,54700.0,75.0,NCAA I,65.0,82.0,80.0,83.0,49.5,1.0,10:1,Jan. 15,60.0,50.0,23.1,60.6,16.1,0.2,0.0,0.0,9686.0,6673.0,3013.0,20500.0,9125.0,53051.0,17154.0
Virginia Tech,75,Public,1872.0,None,Semester,N/A,(540) 231-6000,62300.0,65.0,NCAA I,65.0,85.0,80.0,87.0,28.4,24.0,14:1,Jan. 15,60.0,67.0,18.5,53.0,26.6,1.9,0.0,0.0,37024.0,30020.0,7004.0,22500.0,12000.0,14174.0,33253.0
American University,79,Private,1893.0,United Methodist,Semester,Suburban,(202) 885-1000,50500.0,73.0,NCAA I,64.0,79.0,75.0,80.0,58.9,1.0,11:1,Jan. 15,75.0,39.0,23.5,59.0,15.38,2.0,0.13,0.0,14001.0,7953.0,6048.0,23999.0,8750.0,51334.0,15150.0
Brigham Young University--Provo,79,Private,1875.0,Latter-day Saints (Mormon Church),Semester,City,(801) 422-1211,57800.0,21.0,NCAA I,64.0,81.0,68.0,77.0,50.2,13.0,21:1,Dec. 15,35.0,69.0,26.11,52.39,20.63,0.87,0.0,0.0,36450.0,33365.0,3085.0,12000.0,6500.0,6120.0,8048.0
Gonzaga University,79,Private,1887.0,Roman Catholic,Semester,City,(800) 986-9585,56000.0,77.0,NCAA I,64.0,87.0,85.0,88.0,37.0,2.0,11:1,Feb. 1,50.0,73.0,12.0,58.0,30.0,1.0,0.0,0.0,7295.0,4852.0,2443.0,25000.0,11000.0,48470.0,13192.0
North Carolina State University,79,Public,1887.0,None,Semester,City,(919) 515-2011,57600.0,59.0,NCAA I,64.0,82.0,81.0,86.0,37.1,18.0,15:1,Jan. 15,85.0,46.0,25.0,63.0,11.0,1.0,0.0,0.0,36042.0,26150.0,9892.0,20500.0,9750.0,9131.0,29916.0
Binghamton University--SUNY,83,Public,1946.0,None,Semester,Suburban,(607) 777-2000,57000.0,72.0,NCAA I,63.0,82.0,79.0,83.0,45.7,15.0,19:1,rolling,50.0,43.0,40.9,51.8,7.23,0.07,0.0,0.0,18148.0,14333.0,3815.0,19500.0,9250.0,10319.0,27909.0
Colorado School of Mines,33,Public,1874.0,None,Semester,Suburban,(303) 273-3000,72400.0,65.0,NCAA II,63.0,81.0,79.0,85.0,31.4,26.0,17:1,May 1,45.0,55.0,36.0,57.0,6.0,0.0,0.0,0.0,6754.0,5216.0,1538.0,25000.0,8875.0,19100.0,39800.0
Elon University,83,Private,1889.0,None,4-1-4,Suburban,(336) 278-2000,50400.0,79.0,NCAA I,63.0,84.0,77.0,83.0,50.5,0.0,13:1,Jan. 10,60.0,72.0,8.49,56.63,37.02,0.86,0.0,0.0,7117.0,6291.0,826.0,21692.0,8750.0,38725.0,13422.0
Howard University,83,Private,1867.0,None,Semester,Urban,(202) 806-6100,52900.0,52.0,NCAA I,63.0,64.0,59.0,69.0,46.6,7.0,12:1,Feb. 15,45.0,39.0,4.2,42.1,53.3,0.4,0.0,0.0,10859.0,7857.0,3002.0,25000.0,12000.0,28916.0,14678.0
Marquette University,83,Private,1881.0,Roman Catholic,Semester,Urban,(414) 288-7250,56600.0,67.0,NCAA I,63.0,83.0,74.0,85.0,47.9,8.0,13:1,Dec. 1,N/A,82.0,10.3,56.9,32.3,0.4,0.0,0.0,11550.0,8024.0,3526.0,24500.0,5500.0,45766.0,14140.0
Michigan State University,83,Public,1855.0,None,Semester,Suburban,(517) 355-1855,54100.0,58.0,NCAA I,63.0,81.0,70.0,85.0,24.1,26.0,16:1,rolling,65.0,76.0,7.7,41.3,44.6,6.4,0.1,0.0,49695.0,38491.0,11204.0,24250.0,9250.0,14460.0,39766.0
Stevens Institute of Technology,83,Private,1870.0,None,Semester,City,(201) 216-5000,71500.0,53.0,NCAA III,63.0,86.0,81.0,89.0,34.8,14.0,12:1,Jan. 15,70.0,53.0,55.0,44.0,1.0,0.0,0.0,0.0,7136.0,3670.0,3466.0,26950.0,11625.0,56920.0,16600.0
Texas Christian University,83,Private,1873.0,Christian Church (Disciples of Christ),Semester,Suburban,(817) 257-7000,53600.0,70.0,NCAA I,63.0,83.0,74.0,83.0,42.7,4.0,13:1,Feb. 1,50.0,48.0,9.5,46.0,39.8,4.5,0.2,0.0,11379.0,9704.0,1675.0,21500.0,6500.0,51660.0,14040.0
University of California--Riverside,83,Public,1954.0,None,Quarter,City,(951) 827-1012,52400.0,62.0,NCAA I,63.0,76.0,77.0,78.0,17.7,34.0,23:1,Nov. 30,70.0,66.0,7.0,36.0,48.0,9.0,0.0,0.0,26434.0,22687.0,3747.0,19000.0,9834.0,13742.0,43496.0
University of Iowa,83,Public,1847.0,None,Semester,City,(319) 335-3500,51500.0,54.0,NCAA I,63.0,73.0,62.0,75.0,52.0,14.0,16:1,May 1,40.0,84.0,9.0,47.0,40.0,4.0,0.0,0.0,30318.0,22304.0,8014.0,22500.0,8652.0,9606.0,31569.0
Stony Brook University--SUNY,93,Public,1957.0,None,Semester,Suburban,(631) 689-6000,56100.0,63.0,NCAA I,62.0,75.0,78.0,76.0,37.6,25.0,19:1,Jan. 15,50.0,49.0,30.9,53.4,15.4,0.3,0.0,0.0,26782.0,18010.0,8772.0,19000.0,8750.0,10410.0,28080.0
University at Buffalo--SUNY,93,Public,1846.0,None,Semester,Suburban,(716) 645-2000,53200.0,59.0,NCAA I,62.0,75.0,71.0,77.0,36.5,20.0,14:1,rolling,50.0,67.0,8.3,49.2,40.7,1.8,0.0,0.0,32347.0,22306.0,10041.0,19150.0,7000.0,10724.0,28194.0
University of California--Merced,93,Public,2005.0,None,Semester,Rural,(209) 228-4400,55100.0,45.0,NAIA,62.0,67.0,68.0,70.0,32.2,28.0,19:1,Nov. 30,70.0,85.0,2.0,13.0,49.0,34.0,2.0,0.0,9018.0,8276.0,742.0,18000.0,5500.0,13565.0,43319.0
University of Delaware,93,Public,1743.0,None,4-1-4,Suburban,(302) 831-2000,57100.0,73.0,NCAA I,62.0,83.0,73.0,86.0,29.3,18.0,12:1,Jan. 15,75.0,63.0,12.0,57.0,31.0,1.0,0.0,0.0,22705.0,18420.0,4285.0,24660.0,8000.0,15020.0,36880.0
University of Denver,93,Private,1864.0,None,Quarter,City,(303) 871-2000,52300.0,67.0,NCAA I,62.0,76.0,73.0,76.0,54.8,6.0,11:1,Jan. 15,65.0,61.0,14.0,57.0,26.0,2.0,0.0,0.0,13856.0,5699.0,8157.0,20833.0,9168.0,54819.0,14674.0
University of San Diego,93,Private,1949.0,Roman Catholic,4-1-4,Urban,(619) 260-4600,56300.0,69.0,NCAA I,62.0,81.0,76.0,81.0,42.4,0.0,12:1,Dec. 15,55.0,59.0,12.0,56.0,30.0,2.0,0.0,0.0,8861.0,5529.0,3332.0,23049.0,8250.0,52864.0,16246.0
Auburn University,99,Public,1856.0,None,Semester,Suburban,(334) 844-4000,52800.0,51.0,NCAA I,61.0,78.0,66.0,80.0,35.3,16.0,20:1,Feb. 3,50.0,85.0,10.94,53.03,35.08,0.83,0.12,0.0,30737.0,24505.0,6232.0,21281.0,8250.0,11796.0,31956.0
University of Colorado Boulder,99,Public,1876.0,None,Semester,City,(303) 492-1411,55100.0,50.0,NCAA I,61.0,70.0,66.0,74.0,50.3,13.0,18:1,Jan. 15,50.0,84.0,15.0,47.0,34.0,5.0,0.0,0.0,36956.0,30300.0,6656.0,19500.0,9500.0,12494.0,38312.0
University of Oregon,99,Public,1876.0,None,Quarter,City,(541) 346-1000,49800.0,58.0,NCAA I,61.0,73.0,64.0,77.0,37.4,21.0,17:1,Jan. 15,65.0,83.0,7.1,40.5,45.2,7.0,0.3,0.0,21752.0,18045.0,3707.0,20500.0,8218.0,13856.0,39308.0
University of Utah,99,Public,1850.0,None,Semester,Urban,(801) 581-7200,54000.0,34.0,NCAA I,61.0,69.0,58.0,71.0,46.3,16.0,17:1,April 1,55.0,79.0,17.0,43.0,36.0,4.0,0.0,0.0,33080.0,24643.0,8437.0,18088.0,9000.0,9816.0,31389.0
Clark University,103,Private,1887.0,None,Semester,City,(508) 793-7711,45600.0,70.0,NCAA III,60.0,79.0,75.0,75.0,59.3,3.0,9:1,Jan. 15,N/A,47.0,11.0,56.0,29.0,3.0,1.0,0.0,3425.0,2241.0,1184.0,26000.0,5500.0,50302.0,10150.0
Creighton University,103,Private,1878.0,Roman Catholic,Semester,Urban,(402) 280-2700,52100.0,71.0,NCAA I,60.0,78.0,66.0,82.0,39.5,5.0,12:1,rolling,N/A,77.0,10.8,52.0,35.9,1.2,0.0,0.0,8770.0,4458.0,4312.0,25000.0,7720.0,44524.0,11670.0
Drexel University,103,Private,1891.0,None,Quarter,Urban,(215) 895-2000,61900.0,N/A,NCAA I,60.0,71.0,65.0,73.0,51.0,9.0,10:1,Jan. 15,50.0,77.0,N/A,N/A,N/A,N/A,N/A,N/A,23586.0,14552.0,9034.0,26146.0,9500.0,57136.0,16488.0
Loyola University Chicago,103,Private,1870.0,Roman Catholic,Semester,City,(773) 274-3000,50900.0,69.0,NCAA I,60.0,75.0,70.0,78.0,32.4,6.0,14:1,rolling,N/A,71.0,20.0,49.0,30.0,1.0,0.0,0.0,16893.0,11612.0,5281.0,24949.0,9250.0,47498.0,15180.0
Miami University--Oxford,103,Public,1809.0,None,Semester,Rural,(513) 529-1809,55300.0,71.0,NCAA I,60.0,81.0,76.0,83.0,34.1,10.0,17:1,Feb. 1,50.0,92.0,17.2,48.8,29.3,4.7,0.0,0.0,18880.0,16522.0,2358.0,23250.0,7750.0,16705.0,37379.0
New Jersey Institute of Technology,103,Public,1881.0,None,Semester,Urban,(973) 596-3000,62800.0,41.0,NCAA I,60.0,67.0,64.0,73.0,34.8,2.0,15:1,March 1,75.0,66.0,21.0,57.0,22.0,0.0,0.0,0.0,11652.0,9084.0,2568.0,21800.0,10750.0,17674.0,33386.0
Saint Louis University,103,Private,1818.0,Roman Catholic,Semester,Urban,(800) 758-3678,51800.0,N/A,NCAA I,60.0,78.0,67.0,82.0,42.4,9.0,9:1,rolling,N/A,56.0,19.8,50.2,27.2,2.8,0.0,0.0,11863.0,7357.0,4506.0,25000.0,10500.0,48824.0,13310.0
Temple University,103,Public,1884.0,None,Semester,Urban,(215) 204-7000,50300.0,55.0,NCAA I,60.0,73.0,69.0,77.0,40.2,8.0,13:1,Feb. 1,55.0,71.0,8.48,37.68,46.86,6.51,0.47,0.0,37289.0,27306.0,9983.0,24437.0,11000.0,20291.0,34801.0
University of Arizona,103,Public,1885.0,None,Semester,City,(520) 621-2211,55600.0,49.0,NCAA I,60.0,64.0,59.0,68.0,35.8,17.0,15:1,May 1,50.0,85.0,15.89,39.82,36.63,7.34,0.32,0.0,46932.0,36503.0,10429.0,20171.0,8250.0,12384.0,34667.0
University of California--Santa Cruz,103,Public,1965.0,None,Quarter,Suburban,(831) 459-0111,54000.0,55.0,NCAA III,60.0,76.0,74.0,77.0,21.3,30.0,25:1,Nov. 30,70.0,65.0,16.0,49.0,33.0,2.0,0.0,0.0,19161.0,17207.0,1954.0,18408.0,10000.0,14066.0,43820.0
University of Illinois--Chicago,103,Public,1965.0,None,Semester,Urban,(312) 996-7000,56300.0,37.0,NCAA I,60.0,60.0,62.0,65.0,29.1,21.0,18:1,Jan. 15,60.0,73.0,5.91,26.16,55.52,12.34,0.07,0.0,33518.0,21921.0,11597.0,17500.0,7500.0,17437.0,31787.0
University of San Francisco,103,Private,1855.0,Roman Catholic,Semester,Urban,(415) 422-5555,56800.0,63.0,NCAA I,60.0,75.0,67.0,73.0,46.1,1.0,12:1,Jan. 15,70.0,70.0,9.7,51.23,37.38,1.69,0.0,0.0,10068.0,5852.0,4216.0,23250.0,8750.0,53472.0,16140.0
University of South Florida,103,Public,1956.0,None,Semester,Urban,(813) 974-2011,48000.0,59.0,NCAA I,60.0,74.0,72.0,75.0,46.0,13.0,22:1,May 1,30.0,49.0,9.0,57.0,34.0,0.0,0.0,0.0,50613.0,38579.0,12034.0,18750.0,10500.0,6410.0,17324.0
"University of Tennessee, Knoxville",103,Public,1794.0,None,Semester,Urban,(865) 974-1000,51400.0,51.0,NCAA I,60.0,72.0,61.0,75.0,38.1,14.0,17:1,rolling,50.0,78.0,8.0,45.0,46.0,1.0,0.0,0.0,30559.0,24254.0,6305.0,20500.0,7574.0,13244.0,31434.0
Arizona State University,117,Public,1885.0,None,Semester,Urban,(855) 278-5080,54400.0,51.0,NCAA I,59.0,69.0,59.0,71.0,41.1,17.0,18:1,rolling,50.0,88.0,11.2,42.2,38.6,7.5,0.5,0.0,74795.0,63124.0,11671.0,20278.0,9148.0,11348.0,29438.0
Rochester Institute of Technology,117,Private,1829.0,None,Semester,Suburban,(585) 475-2411,63000.0,26.0,NCAA III,59.0,71.0,67.0,75.0,48.2,5.0,13:1,rolling,65.0,74.0,N/A,N/A,N/A,N/A,N/A,N/A,16158.0,13412.0,2746.0,27000.0,12000.0,52756.0,14432.0
SUNY College of Environmental Science and Forestry,117,Public,1911.0,None,Semester,City,(315) 470-6500,53600.0,N/A,N/A,59.0,77.0,81.0,76.0,57.7,8.0,14:1,Feb. 1,50.0,60.0,7.0,18.0,35.0,27.0,10.0,3.0,2134.0,1731.0,403.0,19000.0,13501.0,9216.0,19976.0
University of South Carolina,117,Public,1801.0,None,Semester,City,(803) 777-7000,48700.0,65.0,NCAA I,59.0,76.0,68.0,80.0,43.8,13.0,18:1,Dec. 1,65.0,68.0,14.0,49.0,37.0,0.0,0.0,0.0,35468.0,27270.0,8198.0,22500.0,8264.0,12688.0,33928.0
University of Vermont,117,Public,1791.0,None,Semester,Suburban,(802) 656-3131,50900.0,64.0,NCAA I,59.0,76.0,71.0,77.0,45.3,16.0,18:1,Jan. 15,55.0,71.0,14.0,56.0,28.0,2.0,0.0,0.0,13292.0,11136.0,2156.0,21500.0,6500.0,19002.0,43890.0
Chapman University,122,Private,1861.0,Christian Church (Disciples of Christ),4-1-4,Suburban,(714) 997-6815,50500.0,73.0,NCAA III,58.0,80.0,75.0,81.0,45.7,2.0,12:1,Jan. 15,70.0,58.0,15.31,56.12,27.08,1.49,0.0,0.0,9761.0,7404.0,2357.0,20750.0,9500.0,57214.0,16138.0
Illinois Institute of Technology,122,Private,1890.0,None,Semester,Urban,(312) 567-3000,63800.0,38.0,NCAA III,58.0,72.0,70.0,72.0,42.5,10.0,10:1,Aug. 1,N/A,61.0,21.0,55.0,23.0,1.0,0.0,0.0,6326.0,3123.0,3203.0,25000.0,11000.0,50640.0,15570.0
Iowa State University of Science and Technology,122,Public,1858.0,None,Semester,City,(515) 294-4111,55900.0,50.0,NCAA I,58.0,74.0,63.0,78.0,35.1,19.0,18:1,rolling,40.0,88.0,13.0,43.0,37.0,7.0,0.0,0.0,31825.0,26846.0,4979.0,22635.0,7982.0,9316.0,24504.0
University of Kansas,122,Public,1865.0,None,Semester,City,(785) 864-2700,50100.0,46.0,NCAA I,58.0,65.0,46.0,68.0,60.6,10.0,17:1,Aug. 16,40.0,91.0,12.0,38.0,39.0,10.0,1.0,0.0,26744.0,19135.0,7609.0,21375.0,10032.0,11166.0,28034.0
University of Missouri,122,Public,1839.0,None,Semester,City,(573) 882-2121,49900.0,50.0,NCAA I,58.0,70.0,62.0,76.0,41.4,15.0,18:1,rolling,55.0,82.0,N/A,N/A,N/A,N/A,N/A,N/A,31103.0,23396.0,7707.0,21500.0,9500.0,11475.0,30450.0
Clarkson University,127,Private,1896.0,None,Semester,Rural,(315) 268-6400,65800.0,65.0,NCAA III,57.0,76.0,66.0,81.0,58.6,11.0,13:1,Jan. 15,50.0,78.0,16.0,51.0,31.0,2.0,0.0,0.0,4025.0,2905.0,1120.0,26811.0,8750.0,54370.0,17615.0
DePaul University,62,Private,1898.0,Roman Catholic,Quarter,Urban,(312) 362-8000,53600.0,58.0,NCAA I,57.0,72.0,67.0,73.0,36.5,2.0,17:1,Feb. 1,N/A,70.0,6.15,38.46,44.76,10.08,0.55,0.0,21922.0,14145.0,7777.0,24144.0,10500.0,42012.0,15225.0
Gallaudet University,127,Private,1864.0,None,Semester,Urban,(202) 651-5000,41400.0,19.0,NCAA III,57.0,49.0,43.0,45.0,99.0,0.0,6:1,rolling,50.0,63.0,0.0,6.0,34.0,37.0,23.0,0.0,1451.0,1019.0,432.0,18000.0,6250.0,17112.0,14500.0
Rutgers University--Newark,127,Public,1908.0,None,Semester,Urban,(973) 353-1766,56200.0,34.0,NCAA III,57.0,67.0,64.0,66.0,25.2,21.0,15:1,rolling,70.0,74.0,N/A,N/A,N/A,N/A,N/A,N/A,13231.0,9118.0,4113.0,21769.0,9250.0,15208.0,32409.0
Seattle University,127,Private,1891.0,Roman Catholic,Quarter,Urban,(206) 296-6000,59800.0,63.0,NCAA I,57.0,74.0,72.0,73.0,60.3,0.0,11:1,rolling,55.0,83.0,11.0,49.0,33.0,7.0,0.0,0.0,7050.0,4299.0,2751.0,22398.0,7500.0,49335.0,13035.0
Seton Hall University,127,Private,1856.0,Roman Catholic,Semester,Suburban,(973) 761-9000,56500.0,65.0,NCAA I,57.0,71.0,62.0,75.0,45.7,2.0,14:1,rolling,55.0,78.0,8.0,17.0,34.0,32.0,9.0,0.0,9814.0,5913.0,3901.0,23685.0,6561.0,46880.0,15834.0
University of Dayton,127,Private,1850.0,Roman Catholic,Semester,Suburban,(937) 229-1000,56200.0,63.0,NCAA I,57.0,80.0,74.0,82.0,37.5,3.0,15:1,March 1,N/A,81.0,8.0,40.0,44.0,8.0,0.0,0.0,11650.0,8644.0,3006.0,25000.0,8750.0,44890.0,14870.0
University of Kentucky,127,Public,1865.0,None,Semester,City,(859) 257-9000,51300.0,47.0,NCAA I,57.0,66.0,53.0,71.0,39.5,14.0,16:1,Feb. 15,50.0,96.0,7.7,33.5,47.3,11.1,0.4,0.0,29986.0,22227.0,7759.0,23200.0,8250.0,12610.0,31608.0
University of Oklahoma,127,Public,1890.0,None,Semester,City,(405) 325-0311,54100.0,46.0,NCAA I,57.0,69.0,59.0,75.0,47.5,10.0,17:1,Feb. 1,40.0,83.0,11.1,40.9,41.6,6.0,0.4,0.0,27772.0,21383.0,6389.0,21000.0,10250.0,9312.0,25116.0
The Catholic University of America,136,Private,1887.0,Roman Catholic,Semester,Urban,(202) 319-5000,53000.0,68.0,NCAA III,56.0,74.0,68.0,75.0,64.0,5.0,11:1,Jan. 15,N/A,82.0,N/A,N/A,N/A,N/A,N/A,N/A,5366.0,3055.0,2311.0,26036.0,8750.0,52156.0,16020.0
Drake University,136,Private,1881.0,None,Semester,City,(515) 271-3751,49600.0,63.0,NCAA I,56.0,78.0,68.0,79.0,48.0,6.0,10:1,rolling,N/A,68.0,13.0,45.0,35.0,7.0,0.0,0.0,4774.0,2848.0,1926.0,23375.0,10500.0,45962.0,11288.0
The New School,136,Private,1919.0,None,Semester,Urban,(212) 229-5600,47900.0,55.0,N/A,56.0,69.0,62.0,71.0,78.2,1.0,9:1,Aug. 1,50.0,68.0,12.0,58.0,23.0,7.0,0.0,0.0,9216.0,6430.0,2786.0,23500.0,8374.0,52979.0,17800.0
Samford University,136,Private,1841.0,Baptist,4-1-4,Suburban,(205) 726-2011,45900.0,66.0,NCAA I,56.0,76.0,70.0,79.0,50.6,4.0,14:1,May 1,40.0,84.0,3.0,30.0,59.0,8.0,0.0,0.0,5729.0,3576.0,2153.0,20000.0,8250.0,35360.0,11260.0
Simmons University,136,Private,1899.0,None,Semester,Urban,(617) 521-2000,53100.0,76.0,NCAA III,56.0,78.0,74.0,81.0,56.4,0.0,9:1,Feb. 1,55.0,83.0,2.0,36.0,54.0,7.0,0.0,0.0,6364.0,1744.0,4620.0,25000.0,15000.0,43112.0,15892.0
University of La Verne,136,Private,1891.0,None,4-1-4,Suburban,(909) 593-3511,48200.0,53.0,NCAA III,56.0,69.0,65.0,67.0,61.3,0.0,13:1,rolling,50.0,76.0,1.0,13.0,44.0,40.0,2.0,0.0,4484.0,2484.0,2000.0,25000.0,15029.0,45850.0,14740.0
University of Nebraska -- Lincoln,136,Public,1869.0,None,Semester,City,(402) 472-7211,49900.0,42.0,NCAA I,56.0,67.0,57.0,70.0,35.4,18.0,16:1,May 1,45.0,78.0,13.0,46.0,33.0,8.0,0.0,0.0,25108.0,20286.0,4822.0,21250.0,6500.0,9872.0,27002.0
University of New Hampshire,136,Public,1866.0,None,Semester,Suburban,(603) 862-1234,52800.0,69.0,NCAA I,56.0,77.0,70.0,78.0,37.2,16.0,16:1,Feb. 1,50.0,85.0,6.0,40.8,47.9,5.3,0,0.1,14343.0,11747.0,2596.0,27000.0,8240.0,18962.0,37202.0
University of St. Thomas (MN),67,Private,1885.0,Roman Catholic,4-1-4,Urban,(651) 962-5000,53600.0,70.0,NCAA III,56.0,78.0,76.0,81.0,34.4,1.0,14:1,rolling,N/A,89.0,16.7,50.0,33.3,0.0,0.0,0.0,9792.0,6333.0,3459.0,24000.0,12000.0,48609.0,11812.0
University of Texas at Dallas,136,Public,1969.0,None,Semester,Suburban,(972) 883-2111,56900.0,54.0,NCAA III,56.0,71.0,69.0,73.0,22.8,28.0,23:1,May 1,50.0,79.0,34.0,50.0,15.0,1.0,0.0,0.0,28669.0,21187.0,7482.0,18613.0,7399.0,14564.0,39776.0
University of the Pacific,136,Private,1851.0,None,Semester,City,(209) 946-2285,55600.0,45.0,NCAA I,56.0,67.0,65.0,66.0,44.4,7.0,14:1,Jan. 15,N/A,71.0,17.55,33.7,41.22,7.52,0.0,0.0,6263.0,3524.0,2739.0,20500.0,9500.0,52352.0,14070.0
University of Tulsa,136,Private,1894.0,Presbyterian Church (USA),Semester,City,(918) 631-2000,62400.0,56.0,NCAA I,56.0,72.0,61.0,75.0,56.3,3.0,10:1,rolling,50.0,69.0,12.57,36.13,42.93,8.38,0.0,0.0,3960.0,2929.0,1031.0,25000.0,8448.0,44838.0,12422.0
Colorado State University,148,Public,1870.0,None,Semester,City,(970) 491-1101,52500.0,47.0,NCAA I,55.0,70.0,60.0,73.0,31.4,24.0,17:1,July 1,50.0,84.0,6.0,36.2,48.8,8.6,0.4,0.0,32646.0,25186.0,7460.0,20500.0,8250.0,12260.0,31540.0
